sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
101,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
102,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
103,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
104,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
105,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
106,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
107,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
108,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
109,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
110,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
111,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
112,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
113,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
114,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
115,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
116,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
117,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
118,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
119,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
120,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
121,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
122,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
123,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
124,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
125,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
126,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
127,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
128,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
129,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
130,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
131,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
132,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
133,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
134,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
135,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
136,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
137,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
138,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
139,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
140,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
141,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
142,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
143,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
144,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
145,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
146,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
147,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
148,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
149,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
150,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
151,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
152,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
153,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
154,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
155,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
156,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
157,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
158,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
159,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
160,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
161,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
162,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
163,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
164,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
165,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
166,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
167,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
168,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
169,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
170,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
171,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
172,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
173,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
174,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
175,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
176,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
177,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
178,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
179,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
180,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
181,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
182,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
183,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
184,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
185,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
186,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
187,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
188,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
189,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
190,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
191,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
192,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
193,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
194,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
195,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
196,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
197,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
198,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
