sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
150,0x003fee54,-2.208984,0,0,1,204,1.020
151,0x003fee54,-2.208984,0,0,1,203,1.015
152,0x003fee54,-2.208984,0,0,1,203,1.015
153,0x003fee54,-2.208984,0,0,1,204,1.020
154,0x003fee54,-2.208984,0,0,1,204,1.020
155,0x003fee54,-2.208984,0,0,1,204,1.020
156,0x003fee54,-2.208984,0,0,1,203,1.015
157,0x003fee54,-2.208984,0,0,1,203,1.015
158,0x003fee54,-2.208984,0,0,1,204,1.020
159,0x003fee54,-2.208984,0,0,1,204,1.020
160,0x003fee54,-2.208984,0,0,1,204,1.020
161,0x003fee54,-2.208984,0,0,1,203,1.015
162,0x003fee54,-2.208984,0,0,1,203,1.015
163,0x003fee54,-2.208984,0,0,1,204,1.020
164,0x003fee54,-2.208984,0,0,1,204,1.020
165,0x003fee54,-2.208984,0,0,1,204,1.020
166,0x003fee54,-2.208984,0,0,1,203,1.015
167,0x003fee54,-2.208984,0,0,1,203,1.015
168,0x003fee54,-2.208984,0,0,1,204,1.020
169,0x003fee54,-2.208984,0,0,1,204,1.020
170,0x003fee54,-2.208984,0,0,1,204,1.020
171,0x003fee54,-2.208984,0,0,1,203,1.015
172,0x003fee54,-2.208984,0,0,1,203,1.015
173,0x003fee54,-2.208984,0,0,1,204,1.020
174,0x003fee54,-2.208984,0,0,1,204,1.020
175,0x003fee54,-2.208984,0,0,1,204,1.020
176,0x003fee54,-2.208984,0,0,1,203,1.015
177,0x003fee54,-2.208984,0,0,1,203,1.015
178,0x003fee54,-2.208984,0,0,1,204,1.020
179,0x003fee54,-2.208984,0,0,1,204,1.020
180,0x003fee54,-2.208984,0,0,1,204,1.020
181,0x003fee54,-2.208984,0,0,1,203,1.015
182,0x003fee54,-2.208984,0,0,1,203,1.015
183,0x003fee54,-2.208984,0,0,1,204,1.020
184,0x003fee54,-2.208984,0,0,1,204,1.020
185,0x003fee54,-2.208984,0,0,1,204,1.020
186,0x003fee54,-2.208984,0,0,1,203,1.015
187,0x003fee54,-2.208984,0,0,1,203,1.015
188,0x003fee54,-2.208984,0,0,1,204,1.020
189,0x003fee54,-2.208984,0,0,1,204,1.020
190,0x003fee54,-2.208984,0,0,1,204,1.020
191,0x003fee54,-2.208984,0,0,1,203,1.015
192,0x003fee54,-2.208984,0,0,1,203,1.015
193,0x003fee54,-2.208984,0,0,1,204,1.020
194,0x003fee54,-2.208984,0,0,1,204,1.020
195,0x003fee54,-2.208984,0,0,1,204,1.020
196,0x003fee54,-2.208984,0,0,1,203,1.015
197,0x003fee54,-2.208984,0,0,1,203,1.015
198,0x003fee54,-2.208984,0,0,1,204,1.020
199,0x003fee54,-2.208984,0,0,1,204,1.020
200,0x003fee54,-2.208984,0,0,1,204,1.020
201,0x003fee54,-2.208984,0,0,1,203,1.015
202,0x003fee54,-2.208984,0,0,1,203,1.015
203,0x003fee54,-2.208984,0,0,1,204,1.020
204,0x003fee54,-2.208984,0,0,1,204,1.020
205,0x003fee54,-2.208984,0,0,1,204,1.020
206,0x003fee54,-2.208984,0,0,1,203,1.015
207,0x003fee54,-2.208984,0,0,1,203,1.015
208,0x003fee54,-2.208984,0,0,1,204,1.020
209,0x003fee54,-2.208984,0,0,1,204,1.020
210,0x003fee54,-2.208984,0,0,1,204,1.020
211,0x003fee54,-2.208984,0,0,1,203,1.015
212,0x003fee54,-2.208984,0,0,1,203,1.015
