sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
130,0x003fedd4,-2.271484,0,0,1,203,1.015,132158,132410,133173
131,0x003fed0f,-2.367676,0,0,1,203,1.015,133174,133426,134188
132,0x003fed53,-2.334473,0,0,1,203,1.015,134190,134442,135203
133,0x003fed10,-2.367188,0,0,1,202,1.010,135206,135458,136218
134,0x003fed4c,-2.337891,0,0,1,203,1.015,136218,136470,137233
135,0x003fed7e,-2.313477,0,0,1,203,1.015,137234,137486,138248
136,0x003fed3c,-2.345703,0,0,1,203,1.015,138250,138502,139263
137,0x003fed05,-2.372559,0,0,1,202,1.010,139266,139518,140278
138,0x003fed91,-2.304199,0,0,1,203,1.015,140278,140530,141293
139,0x003fed53,-2.334473,0,0,1,203,1.015,141294,141546,142308
140,0x003fed53,-2.334473,0,0,1,203,1.015,142310,142562,143323
141,0x003fecbf,-2.406738,0,0,1,202,1.010,143326,143578,144338
142,0x003fed9f,-2.297363,0,0,1,203,1.015,144338,144590,145353
143,0x003fed61,-2.327637,0,0,1,203,1.015,145354,145606,146368
144,0x003fecfc,-2.376953,0,0,1,203,1.015,146370,146622,147383
145,0x003fed98,-2.300781,0,0,1,202,1.010,147386,147638,148398
146,0x003fed80,-2.312500,0,0,1,203,1.015,148398,148650,149413
147,0x003feca6,-2.418945,0,0,1,203,1.015,149414,149666,150428
148,0x003fed29,-2.354980,0,0,1,203,1.015,150430,150682,151443
149,0x003fed37,-2.348145,0,0,1,202,1.010,151446,151698,152458
150,0x003feceb,-2.385254,0,0,1,203,1.015,152458,152710,153473
151,0x003fed8a,-2.307617,0,0,1,203,1.015,153474,153726,154488
152,0x003fed1c,-2.361328,0,0,1,203,1.015,154490,154742,155503
153,0x003fec94,-2.427734,0,0,1,202,1.010,155506,155758,156518
154,0x003fed28,-2.355469,0,0,1,203,1.015,156518,156770,157533
155,0x003fed0b,-2.369629,0,0,1,203,1.015,157534,157786,158548
156,0x003fecb3,-2.412598,0,0,1,203,1.015,158550,158802,159563
157,0x003fecdf,-2.391113,0,0,1,202,1.010,159566,159818,160578
158,0x003feccd,-2.399902,0,0,1,203,1.015,160578,160830,161593
159,0x003feca8,-2.417969,0,0,1,203,1.015,161594,161846,162608
160,0x003fec8a,-2.432617,0,0,1,203,1.015,162610,162862,163623
161,0x003fecca,-2.401367,0,0,1,202,1.010,163626,163878,164638
162,0x003fec37,-2.473145,0,0,1,203,1.015,164638,164890,165653
163,0x003fecf1,-2.382324,0,0,1,203,1.015,165654,165906,166668
164,0x003feca1,-2.421387,0,0,1,203,1.015,166670,166922,167683
165,0x003fec61,-2.452637,0,0,1,202,1.010,167686,167938,168698
166,0x003fec7f,-2.437988,0,0,1,203,1.015,168698,168950,169713
167,0x003fecdb,-2.393066,0,0,1,203,1.015,169714,169966,170728
168,0x003fec25,-2.481934,0,0,1,203,1.015,170730,170982,171743
169,0x003fec5d,-2.454590,0,0,1,202,1.010,171746,171998,172758
170,0x003fec95,-2.427246,0,0,1,203,1.015,172758,173010,173773
171,0x003fec79,-2.440918,0,0,1,203,1.015,173774,174026,174788
172,0x003fec24,-2.482422,0,0,1,203,1.015,174790,175042,175803
173,0x003fed06,-2.372070,0,0,1,202,1.010,175806,176058,176818
174,0x003fec52,-2.459961,0,0,1,203,1.015,176818,177070,177833
175,0x003fecaf,-2.414551,0,0,1,203,1.015,177834,178086,178848
176,0x003fecc1,-2.405762,0,0,1,203,1.015,178850,179102,179863
177,0x003fecba,-2.409180,0,0,1,202,1.010,179866,180118,180878
178,0x003fec7b,-2.439941,0,0,1,203,1.015,180878,181130,181893
179,0x003fed6d,-2.321777,0,0,1,203,1.015,181894,182146,182908
180,0x003fecd8,-2.394531,0,0,1,203,1.015,182910,183162,183923
181,0x003fed13,-2.365723,0,0,1,202,1.010,183926,184178,184938
182,0x003fed0f,-2.367676,0,0,1,203,1.015,184938,185190,185953
183,0x003feda1,-2.296387,0,0,1,203,1.015,185954,186206,186968
184,0x003fece9,-2.386230,0,0,1,203,1.015,186970,187222,187983
185,0x003fed86,-2.309570,0,0,1,202,1.010,187986,188238,188998
186,0x003feccf,-2.398926,0,0,1,203,1.015,188998,189250,190013
187,0x003fecf0,-2.382812,0,0,1,203,1.015,190014,190266,191028
188,0x003fed0c,-2.369141,0,0,1,203,1.015,191030,191282,192043
189,0x003feda9,-2.292480,0,0,1,202,1.010,192046,192298,193058
190,0x003fed64,-2.326172,0,0,1,203,1.015,193058,193310,194073
191,0x003fedb2,-2.288086,0,0,1,203,1.015,194074,194326,195088
192,0x003fed03,-2.373535,0,0,1,203,1.015,195090,195342,196103
193,0x003fed64,-2.326172,0,0,1,202,1.010,196106,196358,197118
194,0x003fed53,-2.334473,0,0,1,203,1.015,197118,197370,198133
195,0x003fedad,-2.290527,0,0,1,203,1.015,198134,198386,199148
196,0x003fedb6,-2.286133,0,0,1,203,1.015,199150,199402,200163
197,0x003feda6,-2.293945,0,0,1,202,1.010,200166,200418,201178
198,0x003fed08,-2.371094,0,0,1,203,1.015,201178,201430,202193
199,0x003fed27,-2.355957,0,0,1,203,1.015,202194,202446,203208
200,0x003fed8b,-2.307129,0,0,1,203,1.015,203210,203462,204223
201,0x003fed46,-2.340820,0,0,1,202,1.010,204226,204478,205238
202,0x003fed2e,-2.352539,0,0,1,203,1.015,205238,205490,206253
203,0x003fed07,-2.371582,0,0,1,203,1.015,206254,206506,207268
204,0x003fed05,-2.372559,0,0,1,203,1.015,207270,207522,208283
205,0x003fed17,-2.363770,0,0,1,202,1.010,208286,208538,209298
206,0x003fecf4,-2.380859,0,0,1,203,1.015,209298,209550,210313
207,0x003fecea,-2.385742,0,0,1,203,1.015,210314,210566,211328
208,0x003fed24,-2.357422,0,0,1,203,1.015,211330,211582,212343
209,0x003fecd3,-2.396973,0,0,1,202,1.010,212346,212598,213358
210,0x003fecaa,-2.416992,0,0,1,203,1.015,213358,213610,214373
211,0x003fed1a,-2.362305,0,0,1,203,1.015,214374,214626,215388
212,0x003fecef,-2.383301,0,0,1,203,1.015,215390,215642,216403
213,0x003fed05,-2.372559,0,0,1,202,1.010,216406,216658,217418
214,0x003fec7c,-2.439453,0,0,1,203,1.015,217418,217670,218433
215,0x003fecd4,-2.396484,0,0,1,203,1.015,218434,218686,219448
216,0x003fed51,-2.335449,0,0,1,203,1.015,219450,219702,220463
217,0x003fed7c,-2.314453,0,0,1,202,1.010,220466,220718,221478
218,0x003fec49,-2.464355,0,0,1,203,1.015,221478,221730,222493
219,0x003fed73,-2.318848,0,0,1,203,1.015,222494,222746,223508
220,0x003fed37,-2.348145,0,0,1,203,1.015,223510,223762,224523
221,0x003fecda,-2.393555,0,0,1,202,1.010,224526,224778,225538
222,0x003feccf,-2.398926,0,0,1,203,1.015,225538,225790,226553
223,0x003fed58,-2.332031,0,0,1,203,1.015,226554,226806,227568
224,0x003feccb,-2.400879,0,0,1,203,1.015,227570,227822,228583
225,0x003fed0f,-2.367676,0,0,1,202,1.010,228586,228838,229598
226,0x003fecd2,-2.397461,0,0,1,203,1.015,229598,229850,230613
227,0x003fed2c,-2.353516,0,0,1,203,1.015,230614,230866,231628
228,0x003fecef,-2.383301,0,0,1,203,1.015,231630,231882,232643
229,0x003fed31,-2.351074,0,0,1,202,1.010,232646,232898,233658
230,0x003fed31,-2.351074,0,0,1,203,1.015,233658,233910,234673
231,0x003fed51,-2.335449,0,0,1,203,1.015,234674,234926,235688
