source_chunk_id,local_chunk_id,label,input_batch_index,input_time_ns,input_first_fire_time_ns,input_last_fire_time_ns,input_stream_complete,input_valid,sim_input_ready,input_fire,input_ch0_s0,input_ch0_s1,input_ch0_s2,input_ch0_s3,input_ch1_s0,input_ch1_s1,input_ch1_s2,input_ch1_s3,input_ch2_s0,input_ch2_s1,input_ch2_s2,input_ch2_s3,input_ch3_s0,input_ch3_s1,input_ch3_s2,input_ch3_s3,input_ch4_s0,input_ch4_s1,input_ch4_s2,input_ch4_s3,input_ch5_s0,input_ch5_s1,input_ch5_s2,input_ch5_s3,input_ch6_s0,input_ch6_s1,input_ch6_s2,input_ch6_s3,input_ch7_s0,input_ch7_s1,input_ch7_s2,input_ch7_s3,cnn_result_seen,cnn_result_time_ns,cnn_score_hex,cnn_score_float,cnn_threshold_raw,cnn_threshold_float,trigger_decision,cnn_latency_cycles,cnn_latency_ns,event_present,event_index,event_output_time_ns,event_valid,event_ready,event_fire,event_chunk_id,event_timestamp,event_score_hex,event_batch_index,event_last,event_ch0_s0,event_ch0_s1,event_ch0_s2,event_ch0_s3,event_ch1_s0,event_ch1_s1,event_ch1_s2,event_ch1_s3,event_ch2_s0,event_ch2_s1,event_ch2_s2,event_ch2_s3,event_ch3_s0,event_ch3_s1,event_ch3_s2,event_ch3_s3,event_ch4_s0,event_ch4_s1,event_ch4_s2,event_ch4_s3,event_ch5_s0,event_ch5_s1,event_ch5_s2,event_ch5_s3,event_ch6_s0,event_ch6_s1,event_ch6_s2,event_ch6_s3,event_ch7_s0,event_ch7_s1,event_ch7_s2,event_ch7_s3,waveform_match,event_beat_count,event_complete,event_line_rate_ok,signal_readout_ok,noise_ignored_ok,continuous_readout_ok,chunk_overflow_count,adc_input_overflow_count,dropped_trigger_count,ring_miss_count
490,0,1,20,314,234,486,1,1,1,1,-52,27,17,-91,1,38,-164,22,31,69,-97,18,40,-187,-54,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1378,1,1,1,0,0,0x00001adc,20,0,-52,27,17,-91,1,38,-164,22,31,69,-97,18,40,-187,-54,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,21,318,234,486,1,1,1,1,156,-7,-140,36,183,-74,-7,-44,23,-42,20,28,-32,154,-39,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1382,1,1,1,0,0,0x00001adc,21,0,156,-7,-140,36,183,-74,-7,-44,23,-42,20,28,-32,154,-39,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,22,322,234,486,1,1,1,1,30,71,-45,-33,-81,91,69,-38,-29,52,-66,-26,-4,43,45,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1386,1,1,1,0,0,0x00001adc,22,0,30,71,-45,-33,-81,91,69,-38,-29,52,-66,-26,-4,43,45,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,23,326,234,486,1,1,1,1,-55,62,22,-19,-2,-49,14,-15,70,16,4,-31,-47,54,89,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1390,1,1,1,0,0,0x00001adc,23,0,-55,62,22,-19,-2,-49,14,-15,70,16,4,-31,-47,54,89,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,24,330,234,486,1,1,1,1,48,4,-82,-45,97,-42,-56,-7,-115,100,75,-2,59,-150,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1394,1,1,1,0,0,0x00001adc,24,0,48,4,-82,-45,97,-42,-56,-7,-115,100,75,-2,59,-150,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,25,334,234,486,1,1,1,1,102,-54,93,-62,44,-12,-23,151,-136,27,70,-47,30,45,-110,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1398,1,1,1,0,0,0x00001adc,25,0,102,-54,93,-62,44,-12,-23,151,-136,27,70,-47,30,45,-110,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,26,338,234,486,1,1,1,1,20,-38,14,-22,-143,8,-17,17,56,41,-118,15,-93,-37,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1402,1,1,1,0,0,0x00001adc,26,0,20,-38,14,-22,-143,8,-17,17,56,41,-118,15,-93,-37,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,27,342,234,486,1,1,1,1,-44,145,-4,-103,34,-18,48,-69,-50,144,-14,-66,-72,-4,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1406,1,1,1,0,0,0x00001adc,27,0,-44,145,-4,-103,34,-18,48,-69,-50,144,-14,-66,-72,-4,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,28,346,234,486,1,1,1,1,4,40,-4,-63,-12,-31,85,90,-67,109,31,-95,24,-10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1410,1,1,1,0,0,0x00001adc,28,0,4,40,-4,-63,-12,-31,85,90,-67,109,31,-95,24,-10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,29,350,234,486,1,1,1,1,95,-19,-75,112,-102,-66,26,45,15,57,-18,-70,-67,6,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1414,1,1,1,0,0,0x00001adc,29,0,95,-19,-75,112,-102,-66,26,45,15,57,-18,-70,-67,6,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
