sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel
193,bipolar_sweep,193,193,10,50.000,256,-256,0
194,bipolar_sweep,194,194,10,50.000,256,-256,0
195,bipolar_sweep,195,195,10,50.000,256,-256,0
196,bipolar_sweep,196,196,10,50.000,256,-256,0
197,bipolar_sweep,197,197,10,50.000,256,-256,0
198,bipolar_sweep,198,198,10,50.000,256,-256,0
199,bipolar_sweep,199,199,10,50.000,256,-256,0
200,bipolar_sweep,200,200,10,50.000,256,-256,0
201,bipolar_sweep,201,201,10,50.000,256,-256,0
202,bipolar_sweep,202,202,10,50.000,256,-256,0
203,bipolar_sweep,203,203,10,50.000,256,-256,0
204,bipolar_sweep,204,204,10,50.000,256,-256,0
205,bipolar_sweep,205,205,10,50.000,256,-256,0
206,bipolar_sweep,206,206,10,50.000,256,-256,0
207,bipolar_sweep,207,207,10,50.000,256,-256,0
208,bipolar_sweep,208,208,10,50.000,256,-256,0
209,bipolar_sweep,209,209,10,50.000,256,-256,0
210,bipolar_sweep,210,210,10,50.000,256,-256,0
211,bipolar_sweep,211,211,10,50.000,256,-256,0
212,bipolar_sweep,212,212,10,50.000,256,-256,0
213,bipolar_sweep,213,213,10,50.000,256,-256,0
214,bipolar_sweep,214,214,10,50.000,256,-256,0
215,bipolar_sweep,215,215,10,50.000,256,-256,0
216,bipolar_sweep,216,216,10,50.000,256,-256,0
217,bipolar_sweep,217,217,10,50.000,256,-256,0
218,bipolar_sweep,218,218,10,50.000,256,-256,0
219,bipolar_sweep,219,219,10,50.000,256,-256,0
220,bipolar_sweep,220,220,10,50.000,256,-256,0
221,bipolar_sweep,221,221,10,50.000,256,-256,0
222,bipolar_sweep,222,222,10,50.000,256,-256,0
223,bipolar_sweep,223,223,10,50.000,256,-256,0
224,bipolar_sweep,224,224,10,50.000,256,-256,0
225,bipolar_sweep,225,225,10,50.000,256,-256,0
226,bipolar_sweep,226,226,10,50.000,256,-256,0
227,bipolar_sweep,227,227,10,50.000,256,-256,0
228,bipolar_sweep,228,228,10,50.000,256,-256,0
229,bipolar_sweep,229,229,10,50.000,256,-256,0
230,bipolar_sweep,230,230,10,50.000,256,-256,0
231,bipolar_sweep,231,231,10,50.000,256,-256,0
232,bipolar_sweep,232,232,10,50.000,256,-256,0
233,bipolar_sweep,233,233,10,50.000,256,-256,0
234,bipolar_sweep,234,234,10,50.000,256,-256,0
235,bipolar_sweep,235,235,10,50.000,256,-256,0
236,bipolar_sweep,236,236,10,50.000,256,-256,0
237,bipolar_sweep,237,237,10,50.000,256,-256,0
238,bipolar_sweep,238,238,10,50.000,256,-256,0
239,bipolar_sweep,239,239,10,50.000,256,-256,0
240,bipolar_sweep,240,240,10,50.000,256,-256,0
241,bipolar_sweep,241,241,10,50.000,256,-256,0
242,bipolar_sweep,242,242,10,50.000,256,-256,0
243,bipolar_sweep,243,243,10,50.000,256,-256,0
244,bipolar_sweep,244,244,10,50.000,256,-256,0
245,bipolar_sweep,245,245,10,50.000,256,-256,0
246,bipolar_sweep,246,246,10,50.000,256,-256,0
