sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
101,bipolar_sweep,101,101,10,50.000,256,-256,0,0x003ff0f2,-1.881836,0,0,1,203,1.015
102,bipolar_sweep,102,102,10,50.000,256,-256,0,0x003fef26,-2.106445,0,0,1,203,1.015
103,bipolar_sweep,103,103,10,50.000,256,-256,0,0x003feef8,-2.128906,0,0,1,204,1.020
104,bipolar_sweep,104,104,10,50.000,256,-256,0,0x003ff0c0,-1.906250,0,0,1,204,1.020
105,bipolar_sweep,105,105,10,50.000,256,-256,0,0x003ff012,-1.991211,0,0,1,204,1.020
106,bipolar_sweep,106,106,10,50.000,256,-256,0,0x003ff05c,-1.955078,0,0,1,203,1.015
107,bipolar_sweep,107,107,10,50.000,256,-256,0,0x003ff074,-1.943359,0,0,1,203,1.015
108,bipolar_sweep,108,108,10,50.000,256,-256,0,0x003fee96,-2.176758,0,0,1,204,1.020
109,bipolar_sweep,109,109,10,50.000,256,-256,0,0x003fee66,-2.200195,0,0,1,204,1.020
110,bipolar_sweep,110,110,10,50.000,256,-256,0,0x003ff050,-1.960938,0,0,1,204,1.020
111,bipolar_sweep,111,111,10,50.000,256,-256,0,0x003fef72,-2.069336,0,0,1,203,1.015
112,bipolar_sweep,112,112,10,50.000,256,-256,0,0x003fef14,-2.115234,0,0,1,203,1.015
113,bipolar_sweep,113,113,10,50.000,256,-256,0,0x003feee6,-2.137695,0,0,1,204,1.020
114,bipolar_sweep,114,114,10,50.000,256,-256,0,0x003fed80,-2.312500,0,0,1,204,1.020
115,bipolar_sweep,115,115,10,50.000,256,-256,0,0x003fed40,-2.343750,0,0,1,204,1.020
116,bipolar_sweep,116,116,10,50.000,256,-256,0,0x003feeec,-2.134766,0,0,1,203,1.015
117,bipolar_sweep,117,117,10,50.000,256,-256,0,0x003fee56,-2.208008,0,0,1,203,1.015
118,bipolar_sweep,118,118,10,50.000,256,-256,0,0x003fee2c,-2.228516,0,0,1,204,1.020
119,bipolar_sweep,119,119,10,50.000,256,-256,0,0x003feebc,-2.158203,0,0,1,204,1.020
120,bipolar_sweep,120,120,10,50.000,256,-256,0,0x003fed28,-2.355469,0,0,1,204,1.020
121,bipolar_sweep,121,121,10,50.000,256,-256,0,0x003fecaa,-2.416992,0,0,1,203,1.015
122,bipolar_sweep,122,122,10,50.000,256,-256,0,0x003fede4,-2.263672,0,0,1,203,1.015
123,bipolar_sweep,123,123,10,50.000,256,-256,0,0x003fede6,-2.262695,0,0,1,204,1.020
124,bipolar_sweep,124,124,10,50.000,256,-256,0,0x003fee10,-2.242188,0,0,1,204,1.020
125,bipolar_sweep,125,125,10,50.000,256,-256,0,0x003fee62,-2.202148,0,0,1,204,1.020
126,bipolar_sweep,126,126,10,50.000,256,-256,0,0x003fed72,-2.319336,0,0,1,203,1.015
127,bipolar_sweep,127,127,10,50.000,256,-256,0,0x003fed3e,-2.344727,0,0,1,203,1.015
128,bipolar_sweep,128,128,10,50.000,256,-256,0,0x003fee92,-2.178711,0,0,1,204,1.020
129,bipolar_sweep,129,129,10,50.000,256,-256,0,0x003fef46,-2.090820,0,0,1,204,1.020
130,bipolar_sweep,130,130,10,50.000,256,-256,0,0x003ff07a,-1.940430,0,0,1,204,1.020
131,bipolar_sweep,131,131,10,50.000,256,-256,0,0x003ff1aa,-1.791992,0,0,1,203,1.015
132,bipolar_sweep,132,132,10,50.000,256,-256,0,0x003ff05b,-1.955566,0,0,1,203,1.015
133,bipolar_sweep,133,133,10,50.000,256,-256,0,0x003ff09d,-1.923340,0,0,1,204,1.020
134,bipolar_sweep,134,134,10,50.000,256,-256,0,0x003ff268,-1.699219,0,0,1,204,1.020
135,bipolar_sweep,135,135,10,50.000,256,-256,0,0x003ff1e9,-1.761230,0,0,1,204,1.020
136,bipolar_sweep,136,136,10,50.000,256,-256,0,0x003ff1cf,-1.773926,0,0,1,203,1.015
137,bipolar_sweep,137,137,10,50.000,256,-256,0,0x003ff24c,-1.712891,0,0,1,203,1.015
138,bipolar_sweep,138,138,10,50.000,256,-256,0,0x003ff029,-1.979980,0,0,1,204,1.020
139,bipolar_sweep,139,139,10,50.000,256,-256,0,0x003fef41,-2.093262,0,0,1,204,1.020
140,bipolar_sweep,140,140,10,50.000,256,-256,0,0x003ff08a,-1.932617,0,0,1,204,1.020
141,bipolar_sweep,141,141,10,50.000,256,-256,0,0x003ff0c1,-1.905762,0,0,1,203,1.015
142,bipolar_sweep,142,142,10,50.000,256,-256,0,0x003ff087,-1.934082,0,0,1,203,1.015
