sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
109,0x003ff2a8,-1.667969,0,0,1,202,1.010,110846,111098,111858
110,0x003ff382,-1.561523,0,0,1,203,1.015,111858,112110,112873
111,0x003ff49d,-1.423340,0,0,1,203,1.015,112874,113126,113888
112,0x003ff318,-1.613281,0,0,1,203,1.015,113890,114142,114903
113,0x003ff223,-1.732910,0,0,1,202,1.010,114906,115158,115918
114,0x003ff376,-1.567383,0,0,1,203,1.015,115918,116170,116933
115,0x003ff2c4,-1.654297,0,0,1,203,1.015,116934,117186,117948
116,0x003ff2b2,-1.663086,0,0,1,203,1.015,117950,118202,118963
117,0x003ff46a,-1.448242,0,0,1,202,1.010,118966,119218,119978
118,0x003ff333,-1.600098,0,0,1,203,1.015,119978,120230,120993
119,0x003ff2c6,-1.653320,0,0,1,203,1.015,120994,121246,122008
120,0x003ff42d,-1.478027,0,0,1,203,1.015,122010,122262,123023
121,0x003ff2c9,-1.651855,0,0,1,202,1.010,123026,123278,124038
122,0x003ff2d4,-1.646484,0,0,1,203,1.015,124038,124290,125053
123,0x003ff475,-1.442871,0,0,1,203,1.015,125054,125306,126068
124,0x003ff29a,-1.674805,0,0,1,203,1.015,126070,126322,127083
125,0x003ff247,-1.715332,0,0,1,202,1.010,127086,127338,128098
126,0x003ff48b,-1.432129,0,0,1,203,1.015,128098,128350,129113
127,0x003ff342,-1.592773,0,0,1,203,1.015,129114,129366,130128
128,0x003ff33f,-1.594238,0,0,1,203,1.015,130130,130382,131143
129,0x003ff45b,-1.455566,0,0,1,202,1.010,131146,131398,132158
130,0x003ff2f9,-1.628418,0,0,1,203,1.015,132158,132410,133173
131,0x003ff2c3,-1.654785,0,0,1,203,1.015,133174,133426,134188
132,0x003ff512,-1.366211,0,0,1,203,1.015,134190,134442,135203
133,0x003ff402,-1.499023,0,0,1,202,1.010,135206,135458,136218
134,0x003ff3bb,-1.533691,0,0,1,203,1.015,136218,136470,137233
135,0x003ff4b8,-1.410156,0,0,1,203,1.015,137234,137486,138248
136,0x003ff330,-1.601562,0,0,1,203,1.015,138250,138502,139263
137,0x003ff36d,-1.571777,0,0,1,202,1.010,139266,139518,140278
138,0x003ff5b6,-1.286133,0,0,1,203,1.015,140278,140530,141293
139,0x003ff557,-1.332520,0,0,1,203,1.015,141294,141546,142308
140,0x003ff55a,-1.331055,0,0,1,203,1.015,142310,142562,143323
141,0x003ff59c,-1.298828,0,0,1,202,1.010,143326,143578,144338
142,0x003ff395,-1.552246,0,0,1,203,1.015,144338,144590,145353
143,0x003ff45d,-1.454590,0,0,1,203,1.015,145354,145606,146368
144,0x003ff711,-1.116699,0,0,1,203,1.015,146370,146622,147383
145,0x003ff665,-1.200684,0,0,1,202,1.010,147386,147638,148398
146,0x003ff625,-1.231934,0,0,1,203,1.015,148398,148650,149413
147,0x003ff651,-1.210449,0,0,1,203,1.015,149414,149666,150428
148,0x003ff45b,-1.455566,0,0,1,203,1.015,150430,150682,151443
149,0x003ff4e7,-1.387207,0,0,1,202,1.010,151446,151698,152458
150,0x003ff7b6,-1.036133,0,0,1,203,1.015,152458,152710,153473
151,0x003ff7e7,-1.012207,0,0,1,203,1.015,153474,153726,154488
152,0x003ff7b8,-1.035156,0,0,1,203,1.015,154490,154742,155503
