event_index,event_chunk_id,event_timestamp,event_score_hex,event_batch_index,event_last,event_data_hex,event_output_time_ns,event_valid,event_ready,event_fire
0,73,73,0x00000072,26,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000002b026012010,75718,1,1,1
0,73,73,0x00000072,27,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001800a012022,75722,1,1,1
0,73,73,0x00000072,28,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000d00a008ff3,75726,1,1,1
0,73,73,0x00000072,29,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001800affd003,75730,1,1,1
0,73,73,0x00000072,30,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001601d013028,75734,1,1,1
0,73,73,0x00000072,31,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018015,75738,1,1,1
0,73,73,0x00000072,32,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001d01601d002,75742,1,1,1
0,73,73,0x00000072,33,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001301a005012,75746,1,1,1
0,73,73,0x00000072,34,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000801800a01b,75750,1,1,1
0,73,73,0x00000072,35,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000015016ffd01a,75754,1,1,1
0,73,73,0x00000072,36,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000e01a01601e,75758,1,1,1
0,73,73,0x00000072,37,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000201301600e,75762,1,1,1
0,73,73,0x00000072,38,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001301500e016,75766,1,1,1
0,73,73,0x00000072,39,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001d02affa000,75770,1,1,1
0,73,73,0x00000072,40,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000501300d010,75774,1,1,1
0,73,73,0x00000072,41,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000501601200e,75778,1,1,1
0,73,73,0x00000072,42,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001d005012ffd,75782,1,1,1
0,73,73,0x00000072,43,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000018020025022,75786,1,1,1
0,73,73,0x00000072,44,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000500e016010,75790,1,1,1
0,73,73,0x00000072,45,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001601001e00e,75794,1,1,1
