sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
42,0x003ff035,-1.974121,0,0,1,203,1.015
43,0x003ff001,-1.999512,0,0,1,204,1.020
44,0x003ff237,-1.723145,0,0,1,204,1.020
45,0x003ff293,-1.678223,0,0,1,204,1.020
46,0x003ff387,-1.559082,0,0,1,203,1.015
47,0x003ff2f3,-1.631348,0,0,1,203,1.015
48,0x003ff23d,-1.720215,0,0,1,204,1.020
49,0x003ff22d,-1.728027,0,0,1,204,1.020
50,0x003ff797,-1.051270,0,0,1,204,1.020
51,0x003ffd8f,-0.305176,0,0,1,203,1.015
52,0x0000064b,0.786621,0,1,0,203,1.015
53,0x000009ec,1.240234,0,1,0,204,1.020
54,0x000008c8,1.097656,0,1,0,204,1.020
55,0x00000944,1.158203,0,1,0,204,1.020
56,0x00001470,2.554688,0,1,0,203,1.015
57,0x000024a4,4.580078,0,1,0,203,1.015
58,0x00003550,6.664062,0,1,0,204,1.020
59,0x000039f8,7.246094,0,1,0,204,1.020
60,0x000034d6,6.604492,0,1,0,204,1.020
61,0x00003696,6.823242,0,1,0,203,1.015
62,0x0000412c,8.146484,0,1,0,203,1.015
63,0x00004b00,9.375000,0,1,0,204,1.020
64,0x000058a4,11.080078,0,1,0,204,1.020
65,0x000055c2,10.719727,0,1,0,204,1.020
66,0x0000427c,8.310547,0,1,0,203,1.015
67,0x00003ce4,7.611328,0,1,0,203,1.015
68,0x00003d84,7.689453,0,1,0,204,1.020
69,0x00004cd8,9.605469,0,1,0,204,1.020
70,0x00005b98,11.449219,0,1,0,204,1.020
71,0x00005c7c,11.560547,0,1,0,203,1.015
72,0x00004928,9.144531,0,1,0,203,1.015
73,0x00004080,8.062500,0,1,0,204,1.020
74,0x00004654,8.791016,0,1,0,204,1.020
75,0x000057e4,10.986328,0,1,0,204,1.020
76,0x000065dc,12.732422,0,1,0,203,1.015
77,0x00006007,12.003418,0,1,0,203,1.015
78,0x00004a3b,9.278809,0,1,0,204,1.020
79,0x0000467b,8.810059,0,1,0,204,1.020
80,0x00004713,8.884277,0,1,0,204,1.020
81,0x0000469b,8.825684,0,1,0,203,1.015
82,0x00004647,8.784668,0,1,0,203,1.015
83,0x00003a5d,7.295410,0,1,0,204,1.020
84,0x000022c9,4.348145,0,1,0,204,1.020
85,0x0000183d,3.029785,0,1,0,204,1.020
86,0x00001581,2.687988,0,1,0,203,1.015
87,0x0000158d,2.693848,0,1,0,203,1.015
88,0x00001605,2.752441,0,1,0,204,1.020
89,0x000010f8,2.121094,0,1,0,204,1.020
90,0x0000056e,0.678711,0,1,0,204,1.020
91,0x00000076,0.057617,0,1,0,203,1.015
92,0x003fffa0,-0.046875,0,0,1,203,1.015
93,0x003ffee4,-0.138672,0,0,1,204,1.020
94,0x003ffe48,-0.214844,0,0,1,204,1.020
95,0x003ffb49,-0.589355,0,0,1,204,1.020
96,0x003ff5a5,-1.294434,0,0,1,203,1.015
97,0x003ff2fd,-1.626465,0,0,1,203,1.015
98,0x003ff2d1,-1.647949,0,0,1,204,1.020
99,0x003ff329,-1.604980,0,0,1,204,1.020
100,0x003ff369,-1.573730,0,0,1,204,1.020
101,0x003ff29e,-1.672852,0,0,1,203,1.015
102,0x003ff074,-1.943359,0,0,1,203,1.015
103,0x003ff020,-1.984375,0,0,1,204,1.020
104,0x003ff188,-1.808594,0,0,1,204,1.020
105,0x003ff174,-1.818359,0,0,1,204,1.020
106,0x003ff21c,-1.736328,0,0,1,203,1.015
107,0x003ff1b0,-1.789062,0,0,1,203,1.015
108,0x003fefd4,-2.021484,0,0,1,204,1.020
109,0x003fefa0,-2.046875,0,0,1,204,1.020
110,0x003ff11a,-1.862305,0,0,1,204,1.020
111,0x003ff07e,-1.938477,0,0,1,203,1.015
112,0x003ff0c2,-1.905273,0,0,1,203,1.015
113,0x003ff03a,-1.971680,0,0,1,204,1.020
114,0x003fee78,-2.191406,0,0,1,204,1.020
115,0x003fee28,-2.230469,0,0,1,204,1.020
116,0x003fef5e,-2.079102,0,0,1,203,1.015
117,0x003fef12,-2.116211,0,0,1,203,1.015
118,0x003fef96,-2.051758,0,0,1,204,1.020
119,0x003fefb8,-2.035156,0,0,1,204,1.020
120,0x003fee52,-2.209961,0,0,1,204,1.020
121,0x003fedfe,-2.250977,0,0,1,203,1.015
122,0x003feee6,-2.137695,0,0,1,203,1.015
123,0x003fef16,-2.114258,0,0,1,204,1.020
124,0x003fefc6,-2.028320,0,0,1,204,1.020
125,0x003fefda,-2.018555,0,0,1,204,1.020
126,0x003feea6,-2.168945,0,0,1,203,1.015
127,0x003fee6a,-2.198242,0,0,1,203,1.015
128,0x003ff01c,-1.986328,0,0,1,204,1.020
129,0x003ff160,-1.828125,0,0,1,204,1.020
130,0x003ff2dc,-1.642578,0,0,1,204,1.020
131,0x003ff317,-1.613770,0,0,1,203,1.015
132,0x003ff1ab,-1.791504,0,0,1,203,1.015
133,0x003ff1cf,-1.773926,0,0,1,204,1.020
134,0x003ff379,-1.565918,0,0,1,204,1.020
135,0x003ff3c1,-1.530762,0,0,1,204,1.020
136,0x003ff431,-1.476074,0,0,1,203,1.015
137,0x003ff3c9,-1.526855,0,0,1,203,1.015
138,0x003ff15d,-1.829590,0,0,1,204,1.020
139,0x003ff079,-1.940918,0,0,1,204,1.020
140,0x003ff1bd,-1.782715,0,0,1,204,1.020
141,0x003ff1e5,-1.763184,0,0,1,203,1.015
142,0x003ff21d,-1.735840,0,0,1,203,1.015
143,0x003ff168,-1.824219,0,0,1,204,1.020
144,0x003fefc8,-2.027344,0,0,1,204,1.020
145,0x003fef9c,-2.048828,0,0,1,204,1.020
146,0x003ff104,-1.873047,0,0,1,203,1.015
147,0x003ff0b8,-1.910156,0,0,1,203,1.015
148,0x003ff0ac,-1.916016,0,0,1,204,1.020
149,0x003ff07a,-1.940430,0,0,1,204,1.020
150,0x003fef0c,-2.119141,0,0,1,204,1.020
151,0x003feea4,-2.169922,0,0,1,203,1.015
152,0x003fef6a,-2.073242,0,0,1,203,1.015
153,0x003fef36,-2.098633,0,0,1,204,1.020
154,0x003fef02,-2.124023,0,0,1,204,1.020
155,0x003feeb1,-2.163574,0,0,1,204,1.020
156,0x003feda5,-2.294434,0,0,1,203,1.015
157,0x003fedb5,-2.286621,0,0,1,203,1.015
158,0x003fee97,-2.176270,0,0,1,204,1.020
159,0x003fee43,-2.217285,0,0,1,204,1.020
160,0x003fee93,-2.178223,0,0,1,204,1.020
161,0x003fee96,-2.176758,0,0,1,203,1.015
162,0x003fed96,-2.301758,0,0,1,203,1.015
163,0x003fed92,-2.303711,0,0,1,204,1.020
164,0x003feefa,-2.127930,0,0,1,204,1.020
165,0x003fef5a,-2.081055,0,0,1,204,1.020
166,0x003ff036,-1.973633,0,0,1,203,1.015
167,0x003ff040,-1.968750,0,0,1,203,1.015
168,0x003feed8,-2.144531,0,0,1,204,1.020
169,0x003feebc,-2.158203,0,0,1,204,1.020
170,0x003ff078,-1.941406,0,0,1,204,1.020
171,0x003ff0c4,-1.904297,0,0,1,203,1.015
172,0x003ff174,-1.818359,0,0,1,203,1.015
173,0x003ff175,-1.817871,0,0,1,204,1.020
174,0x003fef7f,-2.062988,0,0,1,204,1.020
175,0x003fef23,-2.107910,0,0,1,204,1.020
176,0x003ff0a3,-1.920410,0,0,1,203,1.015
177,0x003ff153,-1.834473,0,0,1,203,1.015
178,0x003ff127,-1.855957,0,0,1,204,1.020
179,0x003ff069,-1.948730,0,0,1,204,1.020
180,0x003feef5,-2.130371,0,0,1,204,1.020
181,0x003feef1,-2.132324,0,0,1,203,1.015
182,0x003ff00f,-1.992676,0,0,1,203,1.015
183,0x003ff10b,-1.869629,0,0,1,204,1.020
184,0x003ff193,-1.803223,0,0,1,204,1.020
185,0x003ff14b,-1.838379,0,0,1,204,1.020
186,0x003ff07d,-1.938965,0,0,1,203,1.015
187,0x003ff0f5,-1.880371,0,0,1,203,1.015
188,0x003ff2bb,-1.658691,0,0,1,204,1.020
189,0x003ff2b7,-1.660645,0,0,1,204,1.020
190,0x003ff353,-1.584473,0,0,1,204,1.020
191,0x003ff2c6,-1.653320,0,0,1,203,1.015
192,0x003ff056,-1.958008,0,0,1,203,1.015
193,0x003fef8a,-2.057617,0,0,1,204,1.020
194,0x003ff08e,-1.930664,0,0,1,204,1.020
195,0x003feffe,-2.000977,0,0,1,204,1.020
196,0x003fef5e,-2.079102,0,0,1,203,1.015
197,0x003fee7d,-2.188965,0,0,1,203,1.015
198,0x003fece1,-2.390137,0,0,1,204,1.020
199,0x003fecb5,-2.411621,0,0,1,204,1.020
200,0x003fedf7,-2.254395,0,0,1,204,1.020
201,0x003fee5b,-2.205566,0,0,1,203,1.015
202,0x003feec3,-2.154785,0,0,1,203,1.015
203,0x003feefc,-2.126953,0,0,1,204,1.020
204,0x003feeac,-2.166016,0,0,1,204,1.020
205,0x003fef18,-2.113281,0,0,1,204,1.020
206,0x003ff05c,-1.955078,0,0,1,203,1.015
207,0x003ff048,-1.964844,0,0,1,203,1.015
208,0x003ff06c,-1.947266,0,0,1,204,1.020
209,0x003ff042,-1.967773,0,0,1,204,1.020
210,0x003fef06,-2.122070,0,0,1,204,1.020
211,0x003fee92,-2.178711,0,0,1,203,1.015
212,0x003ff024,-1.982422,0,0,1,203,1.015
213,0x003ff02c,-1.978516,0,0,1,204,1.020
214,0x003ff0c8,-1.902344,0,0,1,204,1.020
215,0x003ff0c4,-1.904297,0,0,1,204,1.020
216,0x003fef48,-2.089844,0,0,1,203,1.015
217,0x003fef20,-2.109375,0,0,1,203,1.015
218,0x003ff044,-1.966797,0,0,1,204,1.020
219,0x003ff098,-1.925781,0,0,1,204,1.020
220,0x003ff11c,-1.861328,0,0,1,204,1.020
221,0x003ff0d5,-1.895996,0,0,1,203,1.015
222,0x003fefcb,-2.025879,0,0,1,203,1.015
223,0x003fefdf,-2.016113,0,0,1,204,1.020
224,0x003ff14d,-1.837402,0,0,1,204,1.020
225,0x003ff189,-1.808105,0,0,1,204,1.020
226,0x003ff285,-1.685059,0,0,1,203,1.015
227,0x003ff28b,-1.682129,0,0,1,203,1.015
228,0x003ff03b,-1.971191,0,0,1,204,1.020
229,0x003fef5f,-2.078613,0,0,1,204,1.020
230,0x003ff043,-1.967285,0,0,1,204,1.020
231,0x003ff10b,-1.869629,0,0,1,203,1.015
232,0x003ff14f,-1.836426,0,0,1,203,1.015
233,0x003ff0cc,-1.900391,0,0,1,204,1.020
234,0x003fef54,-2.083984,0,0,1,204,1.020
235,0x003fef0c,-2.119141,0,0,1,204,1.020
236,0x003ff04c,-1.962891,0,0,1,203,1.015
237,0x003ff0fc,-1.876953,0,0,1,203,1.015
238,0x003ff138,-1.847656,0,0,1,204,1.020
239,0x003ff090,-1.929688,0,0,1,204,1.020
240,0x003fef6c,-2.072266,0,0,1,204,1.020
241,0x003fef90,-2.054688,0,0,1,203,1.015
242,0x003ff12c,-1.853516,0,0,1,203,1.015
243,0x003ff0f0,-1.882812,0,0,1,204,1.020
244,0x003ff0f0,-1.882812,0,0,1,204,1.020
245,0x003ff041,-1.968262,0,0,1,204,1.020
246,0x003fef37,-2.098145,0,0,1,203,1.015
247,0x003fef2b,-2.104004,0,0,1,203,1.015
248,0x003ff07b,-1.939941,0,0,1,204,1.020
249,0x003fefb3,-2.037598,0,0,1,204,1.020
250,0x003fef9f,-2.047363,0,0,1,204,1.020
251,0x003fef7e,-2.063477,0,0,1,203,1.015
