sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel
202,polar_sweep,202,202,5,50.000,256,0,0
203,polar_sweep,203,203,5,50.000,256,0,0
204,polar_sweep,204,204,5,50.000,256,0,0
205,polar_sweep,205,205,5,50.000,256,0,0
206,polar_sweep,206,206,5,50.000,256,0,0
207,polar_sweep,207,207,5,50.000,256,0,0
208,polar_sweep,208,208,5,50.000,256,0,0
209,polar_sweep,209,209,5,50.000,256,0,0
210,polar_sweep,210,210,5,50.000,256,0,0
211,polar_sweep,211,211,5,50.000,256,0,0
212,polar_sweep,212,212,5,50.000,256,0,0
213,polar_sweep,213,213,5,50.000,256,0,0
214,polar_sweep,214,214,5,50.000,256,0,0
215,polar_sweep,215,215,5,50.000,256,0,0
216,polar_sweep,216,216,5,50.000,256,0,0
217,polar_sweep,217,217,5,50.000,256,0,0
218,polar_sweep,218,218,5,50.000,256,0,0
219,polar_sweep,219,219,5,50.000,256,0,0
220,polar_sweep,220,220,5,50.000,256,0,0
221,polar_sweep,221,221,5,50.000,256,0,0
222,polar_sweep,222,222,5,50.000,256,0,0
223,polar_sweep,223,223,5,50.000,256,0,0
224,polar_sweep,224,224,5,50.000,256,0,0
225,polar_sweep,225,225,5,50.000,256,0,0
226,polar_sweep,226,226,5,50.000,256,0,0
227,polar_sweep,227,227,5,50.000,256,0,0
228,polar_sweep,228,228,5,50.000,256,0,0
229,polar_sweep,229,229,5,50.000,256,0,0
230,polar_sweep,230,230,5,50.000,256,0,0
231,polar_sweep,231,231,5,50.000,256,0,0
232,polar_sweep,232,232,5,50.000,256,0,0
233,polar_sweep,233,233,5,50.000,256,0,0
234,polar_sweep,234,234,5,50.000,256,0,0
235,polar_sweep,235,235,5,50.000,256,0,0
236,polar_sweep,236,236,5,50.000,256,0,0
237,polar_sweep,237,237,5,50.000,256,0,0
238,polar_sweep,238,238,5,50.000,256,0,0
239,polar_sweep,239,239,5,50.000,256,0,0
240,polar_sweep,240,240,5,50.000,256,0,0
241,polar_sweep,241,241,5,50.000,256,0,0
242,polar_sweep,242,242,5,50.000,256,0,0
243,polar_sweep,243,243,5,50.000,256,0,0
244,polar_sweep,244,244,5,50.000,256,0,0
245,polar_sweep,245,245,5,50.000,256,0,0
246,polar_sweep,246,246,5,50.000,256,0,0
247,polar_sweep,247,247,5,50.000,256,0,0
248,polar_sweep,248,248,5,50.000,256,0,0
249,polar_sweep,249,249,5,50.000,256,0,0
250,polar_sweep,250,250,5,50.000,256,0,0
251,polar_sweep,251,251,5,50.000,256,0,0
