sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
100,polar_sweep,100,100,5,50.000,256,0,0,0x003ff369,-1.573730,0,0,1,204,1.020
101,polar_sweep,101,101,5,50.000,256,0,0,0x003ff29e,-1.672852,0,0,1,203,1.015
102,polar_sweep,102,102,5,50.000,256,0,0,0x003ff074,-1.943359,0,0,1,203,1.015
103,polar_sweep,103,103,5,50.000,256,0,0,0x003ff020,-1.984375,0,0,1,204,1.020
104,polar_sweep,104,104,5,50.000,256,0,0,0x003ff188,-1.808594,0,0,1,204,1.020
105,polar_sweep,105,105,5,50.000,256,0,0,0x003ff174,-1.818359,0,0,1,204,1.020
106,polar_sweep,106,106,5,50.000,256,0,0,0x003ff21c,-1.736328,0,0,1,203,1.015
107,polar_sweep,107,107,5,50.000,256,0,0,0x003ff1b0,-1.789062,0,0,1,203,1.015
108,polar_sweep,108,108,5,50.000,256,0,0,0x003fefd4,-2.021484,0,0,1,204,1.020
109,polar_sweep,109,109,5,50.000,256,0,0,0x003fefa0,-2.046875,0,0,1,204,1.020
110,polar_sweep,110,110,5,50.000,256,0,0,0x003ff11a,-1.862305,0,0,1,204,1.020
111,polar_sweep,111,111,5,50.000,256,0,0,0x003ff07e,-1.938477,0,0,1,203,1.015
112,polar_sweep,112,112,5,50.000,256,0,0,0x003ff0c2,-1.905273,0,0,1,203,1.015
113,polar_sweep,113,113,5,50.000,256,0,0,0x003ff03a,-1.971680,0,0,1,204,1.020
114,polar_sweep,114,114,5,50.000,256,0,0,0x003fee78,-2.191406,0,0,1,204,1.020
115,polar_sweep,115,115,5,50.000,256,0,0,0x003fee28,-2.230469,0,0,1,204,1.020
116,polar_sweep,116,116,5,50.000,256,0,0,0x003fef5e,-2.079102,0,0,1,203,1.015
117,polar_sweep,117,117,5,50.000,256,0,0,0x003fef12,-2.116211,0,0,1,203,1.015
118,polar_sweep,118,118,5,50.000,256,0,0,0x003fef96,-2.051758,0,0,1,204,1.020
119,polar_sweep,119,119,5,50.000,256,0,0,0x003fefb8,-2.035156,0,0,1,204,1.020
120,polar_sweep,120,120,5,50.000,256,0,0,0x003fee52,-2.209961,0,0,1,204,1.020
121,polar_sweep,121,121,5,50.000,256,0,0,0x003fedfe,-2.250977,0,0,1,203,1.015
122,polar_sweep,122,122,5,50.000,256,0,0,0x003feee6,-2.137695,0,0,1,203,1.015
